일시,대여량,반납량,기온,강수량,풍속,습도,적설,토일,공휴일,month,day,hour,코로나확진자수,승차,하차
2020-01-01 00:00:00,2.0,1.0,-6.5,0.0,0.0,38,0.0,0,1,1,1,0,0.0,23456,10153
2020-01-01 01:00:00,2.0,1.0,-5.9,0.0,1.7,40,0.0,0,1,1,1,1,0.0,171,283
2020-01-01 02:00:00,2.0,3.0,-5.7,0.0,0.1,42,0.0,0,1,1,1,2,0.0,7,17
2020-01-01 03:00:00,2.0,3.0,-5.6,0.0,0.0,46,0.0,0,1,1,1,3,0.0,0,0
2020-01-01 04:00:00,1.0,1.0,-5.4,0.0,0.0,50,0.0,0,1,1,1,4,0.0,310,6
2020-01-01 05:00:00,4.0,4.0,-5.2,0.0,0.0,55,0.0,0,1,1,1,5,0.0,17056,12736
2020-01-01 06:00:00,3.0,1.0,-4.8,0.0,1.9,58,0.0,0,1,1,1,6,0.0,25137,54183
2020-01-01 07:00:00,0.0,2.0,-4.6,0.0,2.1,62,0.0,0,1,1,1,7,0.0,44628,156082
2020-01-01 08:00:00,1.0,1.0,-4.6,0.0,1.8,64,0.0,0,1,1,1,8,0.0,70230,340216
2020-01-01 09:00:00,0.0,0.0,-4.3,0.0,2.3,70,0.0,0,1,1,1,9,0.0,60770,394071
2020-01-01 10:00:00,0.0,0.0,-4.2,0.0,1.9,76,0.0,0,1,1,1,10,0.0,63771,181481
2020-01-01 11:00:00,1.0,0.0,-3.4,0.0,1.5,75,0.0,0,1,1,1,11,0.0,86622,153252
2020-01-01 12:00:00,2.0,1.0,-2.2,0.1,1.7,72,0.0,0,1,1,1,12,0.0,115480,158549
2020-01-01 13:00:00,2.0,4.0,-1.0,0.0,1.6,67,0.0,0,1,1,1,13,0.0,149166,188718
2020-01-01 14:00:00,1.0,1.0,-0.4,0.0,1.2,65,0.0,0,1,1,1,14,0.0,152468,162738
2020-01-01 15:00:00,3.0,0.0,0.3,0.0,0.0,62,0.0,0,1,1,1,15,0.0,183604,154123
2020-01-01 16:00:00,1.0,3.0,0.3,0.0,0.0,64,0.0,0,1,1,1,16,0.0,208926,158864
2020-01-01 17:00:00,4.0,4.0,0.2,0.0,0.9,65,0.0,0,1,1,1,17,0.0,267291,193937
2020-01-01 18:00:00,2.0,1.0,0.1,0.0,0.8,66,0.0,0,1,1,1,18,0.0,374029,263058
2020-01-01 19:00:00,0.0,2.0,0.1,0.0,0.3,65,0.0,0,1,1,1,19,0.0,255352,194223
2020-01-01 20:00:00,1.0,1.0,0.0,0.0,1.7,67,0.0,0,1,1,1,20,0.0,207610,87101
2020-01-01 21:00:00,2.0,1.0,-0.4,0.0,2.5,71,0.0,0,1,1,1,21,0.0,251784,64384
2020-01-01 22:00:00,3.0,2.0,-0.9,0.0,1.5,71,0.0,0,1,1,1,22,0.0,271204,57073
2020-01-01 23:00:00,2.0,4.0,-0.9,0.0,1.0,70,0.0,0,1,1,1,23,0.0,127885,35444
2020-01-02 00:00:00,3.0,1.0,-0.7,0.0,2.1,70,0.0,0,0,1,2,0,0.0,23456,10153
2020-01-02 01:00:00,1.0,2.0,-0.7,0.0,2.2,72,0.0,0,0,1,2,1,0.0,171,283
